pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.25,25,0.00,0,0.75,75,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls35,1,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.10,10,0.60,60,0.30,30,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls36,1,10 in 100,number is 1 to 10,60 in 100,number is 11 to 70,30 in 100,number is 71 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.50,50,0.20,20,0.30,30,60,180,300,0.40,40,0.60,60,0.00,0,60,180,300,100,ls37,1,50 in 100,number is 1 to 50,20 in 100,number is 51 to 70,30 in 100,number is 71 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,R,-1,-1,,
0.55,55,0.00,0,0.45,45,60,180,300,0.40,40,0.60,60,0.00,0,60,180,300,100,ls38,1,55 in 100,number is 1 to 55,,,45 in 100,number is 56 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,R,-1,-1,,
0.55,55,0.00,0,0.45,45,60,180,300,0.50,50,0.20,20,0.30,30,60,180,300,100,ls39,1,55 in 100,number is 1 to 55,,,45 in 100,number is 56 to 100,50 in 100,number is 1 to 50,20 in 100,number is 51 to 70,30 in 100,number is 71 to 100,R,-1,-1,,
1.00,100,0.00,0,0.00,0,120,0,0,0.50,50,0.50,50,0.00,0,60,190,0,100,wilcox2AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
1.00,100,0.00,0,0.00,0,60,0,0,0.50,50,0.50,50,0.00,0,30,100,0,100,wilcox4AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
1.00,100,0.00,0,0.00,0,320,0,0,0.50,50,0.50,50,0.00,0,260,390,0,100,wilcox12AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
1.00,100,0.00,0,0.00,0,340,0,0,0.50,50,0.50,50,0.00,0,310,380,0,100,wilcox14AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
1.00,100,0.00,0,0.00,0,520,0,0,0.50,50,0.50,50,0.00,0,460,590,0,100,wilcox22AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
1.00,100,0.00,0,0.00,0,540,0,0,0.50,50,0.50,50,0.00,0,510,580,0,100,wilcox24AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
