pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.40000001,40,0,0,0.60000002,60,6,18,30,0.1,10,0.89999998,90,0,0,6,18,30,100,ls27,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,10 in 100,number is 1 to 10,90 in 100,number is 11 to 100,,,$,-1,-1,,
0.2,20,0.60000002,60,0.2,20,6,18,30,0.1,10,0.89999998,90,0,0,6,18,30,100,ls28,1,20 in 100,number is 1 to 20,60 in 100,number is 21 to 80,20 in 100,number is 81 to 100,10 in 100,number is 1 to 10,90 in 100,number is 11 to 100,,,$,-1,-1,,
0.60000002,60,0,0,0.40000001,40,6,18,30,0.5,50,0.30000001,30,0.2,20,6,18,30,100,ls29,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,50 in 100,number is 1 to 50,30 in 100,number is 51 to 80,20 in 100,number is 81 to 100,$,-1,-1,,
0.60000002,60,0,0,0.40000001,40,6,18,30,0.40000001,40,0.60000002,60,0,0,6,18,30,100,ls30,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,$,-1,-1,,
0.5,50,0.30000001,30,0.2,20,6,18,30,0.40000001,40,0.60000002,60,0,0,6,18,30,100,ls31,1,50 in 100,number is 1 to 50,30 in 100,number is 51 to 80,20 in 100,number is 81 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,$,-1,-1,,
0.25,25,0,0,0.75,75,6,18,30,0.1,10,0.60000002,60,0.30000001,30,6,18,30,100,ls34,1,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,10 in 100,number is 1 to 10,60 in 100,number is 11 to 70,30 in 100,number is 71 to 100,$,-1,-1,,
0.25,25,0,0,0.75,75,6,18,30,0,0,1,100,0,0,6,18,30,100,ls35,1,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.1,10,0.60000002,60,0.30000001,30,6,18,30,0,0,1,100,0,0,6,18,30,100,ls36,1,10 in 100,number is 1 to 10,60 in 100,number is 11 to 70,30 in 100,number is 71 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.5,50,0.2,20,0.30000001,30,6,18,30,0.40000001,40,0.60000002,60,0,0,6,18,30,100,ls37,1,50 in 100,number is 1 to 50,20 in 100,number is 51 to 70,30 in 100,number is 71 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,$,-1,-1,,
0.55000001,55,0,0,0.44999999,45,6,18,30,0.40000001,40,0.60000002,60,0,0,6,18,30,100,ls38,1,55 in 100,number is 1 to 55,,,45 in 100,number is 56 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,$,-1,-1,,
0.55000001,55,0,0,0.44999999,45,6,18,30,0.5,50,0.2,20,0.30000001,30,6,18,30,100,ls39,1,55 in 100,number is 1 to 55,,,45 in 100,number is 56 to 100,50 in 100,number is 1 to 50,20 in 100,number is 51 to 70,30 in 100,number is 71 to 100,$,-1,-1,,
1,100,0,0,0,0,12,0,0,0.5,50,0.5,50,0,0,6,19,0,100,wilcox2AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
1,100,0,0,0,0,6,0,0,0.5,50,0.5,50,0,0,3,10,0,100,wilcox4AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
1,100,0,0,0,0,32,0,0,0.5,50,0.5,50,0,0,26,39,0,100,wilcox12AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
1,100,0,0,0,0,34,0,0,0.5,50,0.5,50,0,0,31,38,0,100,wilcox14AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
1,100,0,0,0,0,52,0,0,0.5,50,0.5,50,0,0,46,59,0,100,wilcox22AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
1,100,0,0,0,0,54,0,0,0.5,50,0.5,50,0,0,51,58,0,100,wilcox24AH,1,100 in 100,number is 1 to 100,,,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
